treatment,rank_channel_5m,rank_center_5m,rank_offside_position
원시,8,10,29
vis_launch>=0.85,3,9,28
사이드 가시율>=0.8,2,7,28
상대 관측>=8,8,30,12
회귀 보정,15,25,14
